ArraySize,Ob,Oi,Oj,Os,P,Total
100,101,202,101,519,101,1024
200,201,402,201,1054,201,2059
300,301,602,301,1662,301,3167
400,401,802,401,2147,401,4152
500,501,1002,501,2794,501,5299
600,601,1202,601,3206,601,6211
700,701,1402,701,3823,701,7328
800,801,1602,801,4399,801,8404
900,901,1802,901,4941,901,9446
1000,1001,2002,1001,5464,1001,10469
1100,1101,2202,1101,5972,1101,11477
1200,1201,2402,1201,6519,1201,12524
1300,1301,2602,1301,7179,1301,13684
1400,1401,2802,1401,7862,1401,14867
1500,1501,3002,1501,8146,1501,15651
1600,1601,3202,1601,8833,1601,16838
1700,1701,3402,1701,9457,1701,17962
1800,1801,3602,1801,9954,1801,18959
1900,1901,3802,1901,10399,1901,19904
2000,2001,4002,2001,10769,2001,20774
2100,2101,4202,2101,11664,2101,22169
2200,2201,4402,2201,11997,2201,23002
2300,2301,4602,2301,12655,2301,24160
2400,2401,4802,2401,13282,2401,25287
2500,2501,5002,2501,13802,2501,26307
2600,2601,5202,2601,14460,2601,27465
2700,2701,5402,2701,14941,2701,28446
2800,2801,5602,2801,15687,2801,29692
2900,2901,5802,2901,16295,2901,30800
3000,3001,6002,3001,16399,3001,31404
3100,3101,6202,3101,17205,3101,32710
3200,3201,6402,3201,17649,3201,33654
3300,3301,6602,3301,18156,3301,34661
3400,3401,6802,3401,18656,3401,35661
3500,3501,7002,3501,19104,3501,36609
3600,3601,7202,3601,19646,3601,37651
3700,3701,7402,3701,20271,3701,38776
3800,3801,7602,3801,20962,3801,39967
3900,3901,7802,3901,21468,3901,40973
4000,4001,8002,4001,21950,4001,41955
